entity	index	name	label	actorOrService	hierarchy	description	originalAlternativeName	type	nistDomain	cimZone	euWp1ActorOrRole	euWp1RelatedRole	euWp1FunctionOrService
entity:CombinedHeatAndPower-CHP--130	130	Combined Heat and Power (CHP)	Combined Heat and Power (CHP)			DER system whose primary purpose is creation of heat but can also provide electrical energy from the heat creation capability. In some circumstances, electrical energy is the primary purpose with heat as a secondary purpose							
entity:CommercialCustomer-131	131	Commercial Customer	Commercial Customer	Actor	Logical - 1st	A business that  receives electricity from the electric distribution system, with usage below the threshold set for industrial usage.		Organization	Customer		business actor	customer	
entity:CommercialVendor-132	132	Commercial Vendor	Commercial Vendor	Actor	Logical - 1st	Comercial vendors that provide solutions, services, and equipment		Organization	Cross Cutting	Enterprise			
entity:CommmunicateDSMPlanInformationToCustomer-133	133	commmunicate DSM plan information to customer	commmunicate DSM plan information to customer	Service	Conceptual	Communicate system parameters as they relate to customer Demand side management programs to assist in decision making		Business Service	Service Provider				
entity:CommunicateEmergencies-134	134	communicate emergencies	communicate emergencies	Service	Conceptual	maintain channel to stakeholders to for emergency information		Business Service	Transmission				
entity:CommunicatePrice-135	135	communicate price	communicate price	Service	Conceptual	communicate customer specific price of electricty informaiton to end customer		Business Service	Service Provider				
entity:CommunicationManagement-136	136	Communication Management	Communication Management	Service	Conceptual	A service that manages configuration associated with the transportation of data		Automation Service	Cross-cutting				
entity:CommunicationManagement-137	137	Communication Management	Communication Management	Service	Conceptual	Provides the management of  communication equipment		Automation Service	Cross-cutting				
entity:CommunicationNetworks-138	138	Communication Networks	Communication Networks	ServiceComposition	Physical	Wireline or wireless networks play a role in AMI, Distribution and Substation Automation, automation backhaul and EV roaming. This include Wireless Service Providers (WSP) now commonly used for AMI NANs, EV charging stations.	IE: Other Networks	Facility	Cross Cutting	Communications			
entity:CommunicationNodes-139	139	Communication Nodes	Communication Nodes										
entity:CommunicationsNetwork-140	140	Communications Network	Communications Network	Actor	Logical	Network assets including cable, wire, fibre, routers, switches, wireless, etc required to support Operations.		Facility	Facility	Monitor & Control Services/roles			
entity:CommunicationPerformanceManagement-141	141	Communication Performance Management	Communication Performance Management	Service	Conceptual	This service manages communication performance for smart grid systems		Business Service	Cross-cutting				
entity:CommunicationService-142	142	Communication Service	Communication Service	Service	Conceptual	A service that transport data		Automation Service	Cross-cutting				
entity:CommunicationsAccountingManagement-143	143	Communications Accounting Management	Communications Accounting Management	Service	Conceptual	This service manages communications accounting for smart grid systems		Business Service	Cross-cutting				
